2024-02-27 20:14:51.110 [info] Log level: Info
2024-02-27 20:14:51.111 [info] Validating found git in: "git"
2024-02-27 20:14:51.111 [info] Using git "2.39.2" from "git"
2024-02-27 20:14:51.111 [info] > git rev-parse --show-toplevel [18ms]
2024-02-27 20:14:51.125 [info] > git rev-parse --show-toplevel [16ms]
2024-02-27 20:14:51.176 [info] > git rev-parse --show-toplevel [9ms]
2024-02-27 20:14:51.211 [info] > git rev-parse --show-toplevel [8ms]
2024-02-27 20:14:51.305 [info] > git rev-parse --show-toplevel [41ms]
2024-02-27 20:14:51.368 [info] > git rev-parse --show-toplevel [8ms]
2024-02-27 20:14:59.562 [info] > git rev-parse --show-toplevel [7ms]
2024-02-27 20:15:01.055 [info] > git rev-parse --show-toplevel [6ms]
2024-02-27 20:15:40.225 [info] > git rev-parse --show-toplevel [9ms]
2024-02-27 20:16:33.200 [info] > git rev-parse --show-toplevel [6ms]
