2024-03-06 09:38:10.903 [info] Log level: Info
2024-03-06 09:38:10.904 [info] Validating found git in: "git"
2024-03-06 09:38:10.904 [info] Using git "2.39.2" from "git"
2024-03-06 09:38:10.932 [info] > git rev-parse --show-toplevel [7ms]
2024-03-06 09:38:11.420 [info] > git rev-parse --show-toplevel [23ms]
2024-03-06 09:38:11.768 [info] > git rev-parse --show-toplevel [14ms]
2024-03-06 09:38:30.294 [info] > git rev-parse --show-toplevel [9ms]
2024-03-06 09:46:20.831 [info] > git rev-parse --show-toplevel [28ms]
2024-03-06 09:46:23.687 [info] > git rev-parse --show-toplevel [9ms]
2024-03-06 09:46:31.962 [info] > git rev-parse --show-toplevel [16ms]
2024-03-06 09:46:37.953 [info] > git rev-parse --show-toplevel [10ms]
2024-03-06 09:46:46.112 [info] > git rev-parse --show-toplevel [26ms]
2024-03-06 09:46:49.004 [info] > git rev-parse --show-toplevel [8ms]
2024-03-06 09:47:01.857 [info] > git rev-parse --show-toplevel [20ms]
2024-03-06 09:49:34.578 [info] > git rev-parse --show-toplevel [8ms]
2024-03-06 09:58:15.242 [info] > git rev-parse --show-toplevel [9ms]
2024-03-06 10:00:05.703 [info] > git rev-parse --show-toplevel [13ms]
2024-03-06 10:17:42.872 [info] > git rev-parse --show-toplevel [7ms]
2024-03-06 10:17:43.159 [info] > git rev-parse --show-toplevel [9ms]
2024-03-06 10:18:56.097 [info] > git rev-parse --show-toplevel [3ms]
2024-03-06 10:18:59.237 [info] > git rev-parse --show-toplevel [12ms]
2024-03-06 10:20:44.063 [info] > git rev-parse --show-toplevel [3ms]
2024-03-06 10:22:07.754 [info] > git rev-parse --show-toplevel [16ms]
2024-03-06 10:24:49.277 [info] > git rev-parse --show-toplevel [3ms]
2024-03-06 10:27:06.335 [info] > git rev-parse --show-toplevel [4ms]
2024-03-06 10:30:38.084 [info] > git rev-parse --show-toplevel [2ms]
2024-03-06 10:31:15.130 [info] > git rev-parse --show-toplevel [6ms]
2024-03-06 10:35:00.216 [info] > git rev-parse --show-toplevel [3ms]
2024-03-06 10:42:00.916 [info] > git rev-parse --show-toplevel [22ms]
2024-03-06 10:42:02.889 [info] > git rev-parse --show-toplevel [28ms]
2024-03-06 10:42:05.879 [info] > git rev-parse --show-toplevel [11ms]
2024-03-06 10:42:07.105 [info] > git rev-parse --show-toplevel [93ms]
2024-03-06 10:42:15.573 [info] > git rev-parse --show-toplevel [14ms]
2024-03-06 10:42:20.937 [info] > git rev-parse --show-toplevel [11ms]
2024-03-06 10:42:49.128 [info] > git rev-parse --show-toplevel [56ms]
2024-03-06 10:42:50.356 [info] > git rev-parse --show-toplevel [15ms]
2024-03-06 10:42:54.665 [info] > git rev-parse --show-toplevel [16ms]
2024-03-06 10:44:06.036 [info] > git rev-parse --show-toplevel [12ms]
2024-03-06 10:49:39.190 [info] > git rev-parse --show-toplevel [9ms]
2024-03-06 10:51:26.632 [info] > git rev-parse --show-toplevel [3ms]
2024-03-06 10:51:37.338 [info] > git rev-parse --show-toplevel [12ms]
2024-03-06 10:51:45.682 [info] > git rev-parse --show-toplevel [3ms]
2024-03-06 10:51:50.007 [info] > git rev-parse --show-toplevel [7ms]
2024-03-06 10:58:21.930 [info] > git rev-parse --show-toplevel [8ms]
2024-03-06 11:01:55.552 [info] > git rev-parse --show-toplevel [5ms]
2024-03-06 11:10:32.371 [info] > git rev-parse --show-toplevel [18ms]
2024-03-06 11:16:16.678 [info] > git rev-parse --show-toplevel [4ms]
2024-03-06 11:56:47.772 [info] > git rev-parse --show-toplevel [24ms]
2024-03-06 12:00:05.181 [info] > git rev-parse --show-toplevel [11ms]
2024-03-06 12:00:07.091 [info] > git rev-parse --show-toplevel [11ms]
2024-03-06 12:14:50.461 [info] > git rev-parse --show-toplevel [7ms]
2024-03-06 12:21:27.165 [info] > git rev-parse --show-toplevel [10ms]
2024-03-06 12:29:41.890 [info] > git rev-parse --show-toplevel [13ms]
2024-03-06 12:31:15.921 [info] > git rev-parse --show-toplevel [20ms]
2024-03-06 12:31:26.978 [info] > git rev-parse --show-toplevel [17ms]
2024-03-06 12:33:04.760 [info] > git rev-parse --show-toplevel [5ms]
2024-03-06 12:33:15.595 [info] > git rev-parse --show-toplevel [3ms]
2024-03-06 12:34:49.585 [info] > git rev-parse --show-toplevel [3ms]
2024-03-06 12:38:09.942 [info] > git rev-parse --show-toplevel [8ms]
2024-03-06 12:41:00.796 [info] > git rev-parse --show-toplevel [6ms]
2024-03-06 12:42:07.591 [info] > git rev-parse --show-toplevel [6ms]
2024-03-06 12:43:43.320 [info] > git rev-parse --show-toplevel [3ms]
2024-03-06 12:43:52.720 [info] > git rev-parse --show-toplevel [6ms]
2024-03-06 12:44:03.260 [info] > git rev-parse --show-toplevel [3ms]
2024-03-06 12:44:39.210 [info] > git rev-parse --show-toplevel [3ms]
2024-03-06 12:44:53.599 [info] > git rev-parse --show-toplevel [4ms]
2024-03-06 12:45:48.320 [info] > git rev-parse --show-toplevel [9ms]
2024-03-06 12:49:23.600 [info] > git rev-parse --show-toplevel [4ms]
2024-03-06 12:49:45.219 [info] > git rev-parse --show-toplevel [3ms]
2024-03-06 12:49:55.198 [info] > git rev-parse --show-toplevel [3ms]
2024-03-06 12:50:08.017 [info] > git rev-parse --show-toplevel [3ms]
